X,Y,ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR,ObjectId
-8418853.52915109,5685029.84069755,1977-0002,K1G 0N1,This artwork was a collaboration between Monika McLaughlin (concept of concrete work) and Marguerite Weatherstone (supplier of handmade earthenware tiles). The stylized tree represents a community and its fruits symbolize individual contributions.,"Cette œuvre d’art a été réalisée dans le cadre d’une collaboration entre Monika McLaughlin (qui a conçu l’œuvre de béton) et Marguerite Weatherstone (qui a réalisé à la main les tuiles de terre cuite). L’arbre stylisé représente une communauté, et ses fruits symbolisent la contribution des individus.",PA1,https://ottawa.ca/sites/default/files/images/featured/1977-0002.jpg,https://ottawa.ca/sites/default/files/images/featured/1977-0002.jpg,,45.401988,-75.627848,1895 Russell Road,"1895, ch Russell",Untitled 1977,Untitled 1977,"McLaughlin, Monika","1895 Russell Road, Dempsey Community Centre","1895 Russell Road, Dempsey Community Centre",Ottawa,ON,20210118,concrete and ceramic,béton et argile,1977,1
-8426063.13597232,5689093.49823033,1978-0001,K1N 9C3,"This papier mâché sculpture tells the story of Farmer McClintock and his dream of overflowing market stands. Vendors holding baskets of fruit, vegetables, meat and eggs float above him in a cloud-like vision of heaven.

McClintock’s Dream was created in 1978 by artist Victor Tolgesy. Tolgesy used colourful caricatures of market vendors to capture the lively spirit of the ByWard Market during the era in which this building was used to sell farmers’ wares.","Cette sculpture en papier mâché raconte l’histoire du fermier McClintock rêvant d’étals de marché débordants. Des vendeurs tenant des paniers de fruits, de légumes, de viande et d’œufs flottent au-dessus de lui dans une vision du ciel en forme d’un nuage.

Le rêve de McClintock a été réalisé en 1978 par l’artiste Victor Tolgesy. Tolgesy a inclus dans son œuvre des caricatures colorées de vendeurs du marché. Il tenait à saisir le dynamisme qui animait le marché By à l’époque où cet immeuble servait à vendre les produits de la ferme.",PA2,https://ottawa.ca/sites/default/files/images/featured/1978-0001_mcclintocks_dream_0.jpg,https://ottawa.ca/sites/default/files/images/featured/1978-0001_mcclintocks_dream_0.jpg,,45.427613,-75.692613,55 ByWard Market Building ,"55, Marché By",McClintock's Dream,McClintock's Dream,"Tolgesy, Victor",55 ByWard Market Building ,55 ByWard Market Building ,Ottawa,ON,20210118,"papier maché, acrylic","papier maché, acrylique",1978,2
-8431277.22960159,5680450.30650643,1986-0083,K1Z 8M7,"Mural artist Pierre Hardy used his skills in optical illusion to create scenes within a scene. Each mural depicts activities taking place at the community centre. On one wall, children stand in a hallway looking at a mural. Hardy achieved a trompe-l’œil effect by painting in the floors, walls and building features. The colour blue surrounds many of the characters’ interactions. Hardy believed that blue would have a meditative effect on viewers.","Le muraliste Pierre Hardy a mis à profit son talent en illusion d’optique pour créer une scène à l’intérieur d’une autre, chacune d’elles illustrant des activités qui se déroulent au centre communautaire. L’artiste a réalisé un effet trompe-l’œil en peignant sur les planchers, les murs et les éléments architecturaux. Les personnages sont pour la plupart bordés de bleu, car Pierre Hardy croyait que cette couleur aurait un effet méditatif sur les spectateurs. ",PA3,https://ottawa.ca/sites/default/files/images/featured/1986-0083.jpg,https://ottawa.ca/sites/default/files/images/featured/1986-0083.jpg,,45.373096,-75.739452,1520 Caldwell Ave,"1520, av Caldwell",Interactions Bleues,Interactions Bleues,"Hardy, Pierre","1520 Caldwell Avenue, Carlington Rec Centre, Bellevue Gym","1520 Caldwell Avenue, Carlington Rec Centre, Bellevue Gym",Ottawa,ON,20210118,acrylic on concrete,acrylique sur ciment,1986,3
-8421837.78206028,5688190.5329417,1986-0084,,,,PA315,,,,45.42192,-75.654656,275 Coventry Rd,"275, ch Coventry",13 Fire Axes,13 Fire Axes,"McVeigh, Don","275 Coventry Road, Fire Station 56","275 Coventry Road, Fire Station 56",Ottawa,ON,20210118,"terrazzo, granite, and zinc","terrazo, granite et zinc",1986,4
-8424991.35191496,5688736.13958293,1986-0085,K1N 7N4,"Four wood figures connect the street to the fire hall. The figures are motionless, perhaps taking a break or waiting. As the day goes on, these figures evolve into street characters; at dusk and by night, the figures take on the profiles of other passersby.

The wood—marine-grade laminated mahogany plywood—has a tactile quality that gives warmth and depth to each figure. Sculptor Richard Nigro created surface features using a router. Heavier routing on the outside edges of the figures exposes laminations between the layers of mahogany.","Quatre personnages en bois créent un lien entre la rue et la caserne de pompiers. Ils sont immobiles – peut-être prennent-ils une pause ou attendent-ils quelque chose ou quelqu’un? Chose certaine, le temps passe et les transforme en hommes de la rue, le crépuscule et la nuit leur donnant l’apparence de passants comme les autres.

Le bois, du lamellé de contreplaqués d’acajou de catégorie marine, possède des qualités tactiles qui donnent chaleur et profondeur à chaque personnage. Le sculpteur Richard Nigro en a travaillé la surface à l’aide d’une toupie, et s’est particulièrement attardé aux silhouettes, exposant le contre collage entre les couches d’acajou.",PA4,https://ottawa.ca/sites/default/files/images/featured/1986-0085.jpg,https://ottawa.ca/sites/default/files/images/featured/1986-0085.jpg,,45.42536,-75.682985,530 King Edward Ave,"530, av King Edward",In Context,In Context,"Nigro, Richard","530 King Edward Street, Fire Station 13","530 King Edward Street, Fire Station 13",Ottawa,ON,20210118,wood ,bois,1986,5
-8437168.70233233,5678461.95268966,1987-0072,K2B 7J1,"Time Flow is a cast and welded bronze sculpture with steel tools embedded in the bronze. It expresses the fluidity of metal and incorporates the tools used for metalworking. The artist began with a rough sketch and experimented with pouring out molten bronze. Later, he welded the cooled bronze to a steel frame. The fusion of metals through fire connects the work to the history of the building, which was originally a blacksmith’s shop.","L’écoulement du temps est une sculpture de bronze coulé et soudé dans lequel sont enchâssés des outils en acier. Elle exprime la fluidité des métaux et intègre les outils utilisés pour les travailler. L’artiste a commencé par dessiner un croquis et expérimenter le coulage du bronze fondu. Il a ensuite soudé le bronze refroidi à un cadre en acier. La fusion des métaux par le feu rappelle l’histoire du bâtiment, qui était à l’origine l’atelier d’un forgeron.",PA5,https://ottawa.ca/sites/default/files/images/featured/1987-0072_0.jpg,https://ottawa.ca/sites/default/files/images/featured/1987-0072_0.jpg,,45.360547,-75.792376,2730 Carling Ave,"2730, av Carling",Time Flow,Time Flow,"Garner, Bruce","2730 Carling Avenue, Old Forge Community Centre","2730 Carling Avenue, Old Forge Community Centre",Ottawa,ON,20210118,bronze,bronze,1987,6
-8427228.87367991,5678237.6191563,1987-0092,K2C 1V6,"Before its arrival at Carleton Heights Community Centre, From Sea to Sea was part of the group exhibition Canada Mikrokosma. The exhibition was organized with the support of the Department of External Affairs (now known as Global Affairs Canada) as a part of Canada’s official opening of the Barbican Centre for Arts and Conferences in London, England.

“The frieze called From Sea to Sea, although generally characteristic of major regions from east to west, is not a geographic representation of Canada. Rather, it is an interpretation in colour and texture of the qualities of the Canadian landscape that so many artists have admired and depicted. Impressed by their imagery and by experiences enjoyed in my own travels across this land since arriving here from Europe more than 28 years ago, I have tried to show in From Sea to Sea the uniquely rich and varied tapestry of this country.”
-Hilde Schreier, 1981. Excerpt from the catalogue Canada Mikrokosma

Upon its return to Canada, the tapestry was purchased by the City of Ottawa for the Carleton Heights Community Centre. ","Avant de se retrouver au Centre communautaire Carleton Heights, D’un océan à l’autre a voyagé dans le cadre de l’exposition collective Canada Mikrokosma. Celle-ci fut organisée avec le soutien du ministère des Affaires extérieures (aujourd’hui connu sous le nom d’Affaires mondiales Canada) à l’occasion de l’ouverture officielle canadienne du Barbican Centre for Arts and Conferences, à Londres. L’artiste nous parle de son œuvre dans le catalogue d’exposition :

« La frise intitulée D’un océan à l’autre, quoiqu’assez caractéristique des principales régions du Canada de l’est à l’ouest, n’est pas une représentation géographique du Canada. C’est plutôt une interprétation, par des couleurs et des textures, des qualités du paysage canadien que tant d’artistes ont admirées et reproduites. J’ai été impressionnée par leur imagerie et par l’expérience agréable accumulée au cours de mes voyages à travers le Canada depuis que je suis arrivée d’Europe il y a 28 ans; c’est pourquoi j’ai tenté de montrer, dans D’un océan à l’autre, la richesse singulière et variée de la tapisserie canadienne. » – Hilde Schreier, 1981.

Après son retour au Canada, la tapisserie a été achetée par la Ville d’Ottawa pour être exposée au Centre communautaire Carleton Heights.",PA6,https://ottawa.ca/sites/default/files/images/featured/1987-0092.jpg,https://ottawa.ca/sites/default/files/images/featured/1987-0092.jpg,,45.359131,-75.703085,2 Daly Ave,"2, av Daly",From Sea to Sea,From Sea to Sea,"Schreier, Hilde","2 Daly Avenue, Ottawa Art Gallery","2 Daly Avenue, Ottawa Art Gallery",Ottawa,ON,20210118,"wool, rope, and stone","laine, cordon, et pierre",1987,7
-8437269.22383251,5678383.37194307,1987-0095,,,,PA316,,,,45.360051,-75.793279,2730 Carling Ave,"2730, av Carling",The Olde Forge,The Olde Forge,"Robertson, Jeannine","2730 Carling Avenue, Old Forge Community Centre","2730 Carling Avenue, Old Forge Community Centre",Ottawa,ON,20210118,"silkscreen, oil pastel on paper","sérigraphie, pastel à l'huile sur papier",1987,8
-8435238.75632045,5676379.16203313,1988-0038,K2C 1J3,"The sky has always been the most vital and important element for artist Christine Firth, a former glider pilot and the first woman in Canada to glide over 100 kilometres. She celebrates the sky through paint and poetry.","Pour l’artiste Christine Firth, ancienne pilote de planeur et première Canadienne à effectuer un vol plané sur plus de 100 kilomètres, le ciel a toujours constitué un élément vital. C’est par la peinture et la poésie qu’elle célèbre le ciel.",PA7,https://ottawa.ca/sites/default/files/images/featured/1988-0038.jpg,https://ottawa.ca/sites/default/files/images/featured/1988-0038.jpg,,45.347399,-75.775039,2250 Torquay Ave,"2250, av Torquay",Lest We Forget The Wilderness,Lest We Forget The Wilderness,"Firth, Christine","2250 Torquay Avenue, Pinecrest Pool","2250 Torquay Avenue, Pinecrest Pool",Ottawa,ON,20210118,fresco: oil and acrylic on paper,fresque: huile et acrylique sur papier,1988,9
-8421912.25479962,5692678.02508638,1988-0040,K1K 3C9,"Part of the expansion and upgrade of the Manor Park Field House in the mid-1980s included the installation of coloured glass collages in the north and south windows by local artist Janice Moorhead. The images in each window are composed of four different panels. Each panel is itself a compilation of layers of geometric glass shapes like triangles and squares, creating a quilt-like effect. The northern window, Midnight, evokes the quality of light at that hour with its semi-antique deep blue hue. The southern window, Neighbourhood, captures the afternoon light. Both images were a response to the colours and shapes noted by Moorhead within the surrounding neighbourhood of Manor Park. Originally a painter, Moorhead had begun experimenting with glass, playing with its qualities and creating collages with found objects within her transparent works. She noted that the effect of layered glass allows for a clearer image than the solder lines found in traditional stained glass images. It emphasizes the effect of the edges of the glass, and allows for colour changes resulting from the overlaying of one colour of glass over another.","Les travaux d’agrandissement et d’améliorations du pavillon du parc Manor effectués au milieu des années 1980 comprenaient l’installation de collages de verre teinté de l’artiste locale Janice Moorhead dans les fenêtres nord et sud. Les images de chaque fenêtre sont composées de quatre panneaux différents. Chaque panneau est lui-même une compilation de couches de verre aux formes géométriques, comme des triangles et des carrées, assemblées à la façon d’une courtepointe. La fenêtre nord, Minuit, évoque la qualité de la lumière à minuit avec sa teinte bleu nuit semi-antique. La fenêtre sud, Quartier, saisit la lumière de l’après-midi. Les deux images traduisent les couleurs et les formes que J. Moorhead a observées dans le quartier avoisinant le parc Manor. Peintre à l’origine, Janice Moorhead a commencé à faire des expériences avec le verre, à jouer avec ses qualités et à créer des collages avec des objets trouvés dans ses œuvres transparentes. Elle a remarqué que l’effet du verre en couches superposées donne une image plus claire par rapport aux images des vitraux traditionnels avec leurs lignes de soudure. Sa technique renforce l’effet des arêtes du verre et permet des changements de couleur résultant de la superposition de verre aux couleurs variées.",PA8,https://ottawa.ca/sites/default/files/images/featured/1988-0040_midnight_and_neighbourhood.jpg,https://ottawa.ca/sites/default/files/images/featured/1988-0040_midnight_and_neighbourhood.jpg,,45.450207,-75.655325,100 Braemar St,"100, rue Braemar",Midnight and Neighbourhood,Midnight and Neighbourhood,"Moorhead, Janice","100 Braemar Street, Manor Park Fieldhouse","100 Braemar Street, Manor Park Fieldhouse",Ottawa,ON,20210118,stained glass,vitrail,1988,10
